n;ordenada;comp_montagem;comp_busca_tel
25000;false;0;25000
50000;false;0;50000
100000;false;0;100000
200000;false;0;200000
400000;false;0;400000
25000;true;313072369;14237
50000;true;1248094603;14237
100000;true;4986760666;64237
